Date,AAPL,PG,S&P500
2019-01-02,37.53881072998047,76.45462799072266,2510.030029296875
2019-01-03,33.7996826171875,75.9185791015625,2447.889892578125
2019-01-04,35.24256134033203,77.4681167602539,2531.93994140625
2019-01-07,35.16410446166992,77.15819549560547,2549.68994140625
2019-01-08,35.83445358276367,77.44297790527344,2574.409912109375
2019-01-09,36.44298553466797,76.17822265625,2584.9599609375
2019-01-10,36.5594596862793,76.36249542236328,2596.639892578125
2019-01-11,36.20052337646485,76.86506652832031,2596.260009765625
2019-01-14,35.65616226196289,76.34574127197266,2582.610107421875
2019-01-15,36.38593673706055,77.06610107421875,2610.300048828125
2019-01-16,36.83045959472656,76.52999877929688,2616.10009765625
2019-01-17,37.04914474487305,76.51905822753906,2635.9599609375
2019-01-18,37.27733612060547,77.17750549316406,2670.7099609375
2019-01-22,36.44060516357422,76.3501968383789,2632.89990234375
2019-01-23,36.58799362182617,80.0647201538086,2638.699951171875
2019-01-24,36.2979850769043,79.60887145996094,2642.330078125
2019-01-25,37.50078201293945,79.01789855957031,2664.760009765625
2019-01-28,37.15373611450195,78.95036315917969,2643.85009765625
2019-01-29,36.76864242553711,78.96724700927734,2640.0
2019-01-30,39.28121566772461,79.79456329345703,2681.050048828125
2019-01-31,39.56409454345703,81.44075775146484,2704.10009765625
2019-02-01,39.58311462402344,82.28499603271484,2706.530029296875
2019-02-04,40.70746994018555,82.75774383544922,2724.8701171875
2019-02-05,41.40394592285156,82.2596664428711,2737.699951171875
2019-02-06,41.418212890625,82.66487121582031,2731.610107421875
2019-02-07,40.63377380371094,82.00639343261719,2706.050048828125
2019-02-08,40.68151473999024,82.48760986328125,2707.8798828125
2019-02-11,40.44755935668945,82.96035766601562,2709.800048828125
2019-02-12,40.79610443115234,83.79611206054688,2744.72998046875
2019-02-13,40.626609802246094,83.77921295166016,2753.030029296875
2019-02-14,40.77463150024414,83.12075805664062,2745.72998046875
2019-02-15,40.68390655517578,83.13761138916016,2775.60009765625
2019-02-19,40.80564880371094,84.41241455078125,2779.760009765625
2019-02-20,41.06825256347656,83.81298065185547,2784.699951171875
2019-02-21,40.836692810058594,84.23511505126953,2774.8798828125
2019-02-22,41.29265975952149,84.63188171386719,2792.669921875
2019-02-25,41.59345626831055,84.05782318115234,2796.110107421875
2019-02-26,41.61734008789063,84.27731323242188,2793.89990234375
2019-02-27,41.74624252319336,83.50064849853516,2792.3798828125
2019-02-28,41.33562088012695,83.19672393798828,2784.489990234375
2019-03-01,41.77011489868164,83.1038818359375,2803.68994140625
2019-03-04,41.980201721191406,83.46686553955078,2792.81005859375
2019-03-05,41.903804779052734,83.65259552001953,2789.64990234375
2019-03-06,41.662689208984375,83.51752471923828,2771.449951171875
2019-03-07,41.18046188354492,83.19672393798828,2748.929931640625
2019-03-08,41.2783432006836,83.07854461669922,2743.070068359375
2019-03-11,42.70829772949219,84.0662612915039,2783.300048828125
2019-03-12,43.18815994262695,84.46304321289062,2791.52001953125
2019-03-13,43.37914276123047,85.4169921875,2810.919921875
2019-03-14,43.86137008666992,85.5351791381836,2808.47998046875
2019-03-15,44.431915283203125,86.48072052001953,2822.47998046875
2019-03-18,44.8855094909668,85.6955795288086,2832.93994140625
2019-03-19,44.52981185913086,86.02481079101562,2832.570068359375
2019-03-20,44.918941497802734,85.87287902832031,2824.22998046875
2019-03-21,46.57330703735352,86.52291870117188,2854.8798828125
2019-03-22,45.60886001586914,85.82220458984375,2800.7099609375
2019-03-25,45.05738830566406,86.07549285888672,2798.360107421875
2019-03-26,44.59186172485352,86.97034454345703,2818.4599609375
2019-03-27,44.99293899536133,86.86902618408203,2805.3701171875
2019-03-28,45.05260848999024,87.41776275634766,2815.43994140625
2019-03-29,45.34625244140625,87.83987426757812,2834.39990234375
2019-04-01,45.65420913696289,87.49375915527344,2867.18994140625
2019-04-02,46.31787490844727,87.58660888671875,2867.239990234375
2019-04-03,46.63538360595703,87.53597259521484,2873.39990234375
2019-04-04,46.716529846191406,87.31647491455078,2879.389892578125
2019-04-05,47.029273986816406,87.5021743774414,2892.739990234375
2019-04-08,47.76933670043945,88.6165542602539,2895.77001953125
2019-04-09,47.6260986328125,88.35484313964844,2878.199951171875
2019-04-10,47.893463134765625,88.34640502929688,2888.2099609375
2019-04-11,47.49479675292969,88.43083190917969,2888.320068359375
2019-04-12,47.47570037841797,88.69253540039062,2907.409912109375
2019-04-15,47.56163787841797,89.25814819335938,2905.580078125
2019-04-16,47.56641006469727,89.84065246582031,2907.06005859375
2019-04-17,48.49267578125,89.99028015136719,2900.449951171875
2019-04-18,48.66695022583008,90.16029357910156,2905.030029296875
2019-04-22,48.826904296875,90.12632751464844,2907.969970703125
2019-04-23,49.53114318847656,87.70333862304688,2933.679931640625
2019-04-24,49.45474624633789,88.15392303466797,2927.25
2019-04-25,49.00593948364258,87.80534362792969,2926.169921875
2019-04-26,48.77199172973633,89.99877166748047,2939.8798828125
2019-04-29,48.84598922729492,89.0805892944336,2943.030029296875
2019-04-30,47.9054069519043,90.5259017944336,2945.830078125
2019-05-01,50.25687789916992,89.2081298828125,2923.72998046875
2019-05-02,49.92982482910156,89.74374389648438,2917.52001953125
2019-05-03,50.55050277709961,90.18582153320312,2945.639892578125
2019-05-06,49.76986312866211,89.84575653076172,2932.469970703125
2019-05-07,48.42823028564453,89.01258850097656,2884.050048828125
2019-05-08,48.43776321411133,89.32714080810547,2879.419921875
2019-05-09,47.91733932495117,88.62151336669922,2870.719970703125
2019-05-10,47.253517150878906,90.12632751464844,2881.39990234375
