Date,AAPL,PG,S&P500
2014-01-02,17.15670394897461,57.42349624633789,1831.97998046875
2014-01-03,16.779836654663086,57.35932540893555,1831.3699951171875
2014-01-06,16.871341705322266,57.49480056762695,1826.77001953125
2014-01-07,16.75068473815918,58.05092239379883,1837.8800048828125
2014-01-08,16.85675811767578,57.20958709716797,1837.489990234375
2014-01-09,16.641502380371094,57.33795928955078,1838.1300048828125
2014-01-10,16.530454635620117,57.252376556396484,1842.3699951171875
2014-01-13,16.617002487182617,57.045616149902344,1819.199951171875
2014-01-14,16.947643280029297,57.65877914428711,1838.8800048828125
2014-01-15,17.287912368774414,57.60173034667969,1848.3800048828125
2014-01-16,17.19144058227539,57.437767028808594,1845.8900146484375
2014-01-17,16.770227432250977,56.95291519165039,1838.699951171875
2014-01-21,17.030771255493164,57.16683578491211,1843.800048828125
2014-01-22,17.106456756591797,56.91681671142578,1844.8599853515625
2014-01-23,17.25130844116211,56.20565414428711,1828.4599609375
2014-01-24,16.937719345092773,56.88091278076172,1790.2900390625
2014-01-27,17.075122833251953,56.3708610534668,1781.56005859375
2014-01-28,15.710359573364258,56.83061599731445,1792.5
2014-01-29,15.532003402709961,55.77460861206055,1774.199951171875
2014-01-30,15.501917839050293,55.22145462036133,1794.18994140625
2014-01-31,15.52735424041748,55.041866302490234,1782.5899658203125
2014-02-03,15.55620288848877,54.38096618652344,1741.8900146484375
2014-02-04,15.781386375427246,54.66111373901367,1755.199951171875
2014-02-05,15.899251937866211,54.91975784301758,1751.6400146484375
2014-02-06,15.991928100585938,55.24298858642578,1773.4300537109375
2014-02-07,16.21565055847168,55.537567138671875,1797.02001953125
2014-02-10,16.506155014038086,56.05476760864258,1799.8399658203125
2014-02-11,16.72364044189453,56.63664627075195,1819.75
2014-02-12,16.72239112854004,55.66687774658203,1819.260009765625
2014-02-13,16.987932205200195,55.88957214355469,1829.8299560546875
2014-02-14,16.974197387695312,57.0389289855957,1838.6300048828125
2014-02-18,17.036602020263672,56.011680603027344,1840.760009765625
2014-02-19,16.767637252807617,56.13381576538086,1828.75
2014-02-20,16.573545455932617,55.975772857666016,1839.780029296875
2014-02-21,16.389455795288086,56.011680603027344,1836.25
2014-02-24,16.46122169494629,55.93267822265625,1847.6099853515625
2014-02-25,16.289915084838867,56.11941909790039,1845.1199951171875
2014-02-26,16.14295196533203,55.93267822265625,1845.1600341796875
2014-02-27,16.4649715423584,56.169708251953125,1854.2900390625
2014-02-28,16.42034912109375,56.507362365722656,1859.449951171875
2014-03-03,16.467777252197266,55.65966796875,1845.72998046875
2014-03-04,16.57636260986328,56.356502532958984,1873.9100341796875
2014-03-05,16.611312866210938,55.90392303466797,1873.81005859375
2014-03-06,16.561071395874023,56.076316833496094,1877.030029296875
2014-03-07,16.551401138305664,56.30622863769531,1878.0400390625
2014-03-10,16.566375732421875,56.41395568847656,1877.1700439453125
2014-03-11,16.727693557739258,56.7156867980957,1867.6300048828125
2014-03-12,16.743927001953125,56.92403030395508,1868.199951171875
2014-03-13,16.557950973510742,56.888092041015625,1846.3399658203125
2014-03-14,16.371978759765625,56.73723220825195,1841.1300048828125
2014-03-17,16.435951232910156,57.35504150390625,1858.8299560546875
2014-03-18,16.581357955932617,57.30474090576172,1872.25
2014-03-19,16.576982498168945,56.59356689453125,1860.77001953125
2014-03-20,16.497108459472656,56.26311111450195,1872.010009765625
2014-03-21,16.627220153808594,55.94700622558594,1866.52001953125
2014-03-24,16.824424743652344,56.96710968017578,1857.43994140625
2014-03-25,17.00540542602539,57.333492279052734,1865.6199951171875
2014-03-26,16.84283447265625,57.11079025268555,1852.56005859375
2014-03-27,16.77043914794922,57.218544006347656,1849.0400390625
2014-03-28,16.75172233581543,57.29756546020508,1857.6199951171875
2014-03-31,16.74798011779785,57.90100860595703,1872.3399658203125
2014-04-01,16.901185989379883,57.7142219543457,1885.52001953125
2014-04-02,16.92926597595215,57.563377380371094,1890.9000244140625
2014-04-03,16.811941146850586,57.54182052612305,1888.77001953125
2014-04-04,16.594453811645508,57.30474090576172,1865.0899658203125
2014-04-07,16.333911895751953,57.82197952270508,1845.0400390625
2014-04-08,16.332971572875977,58.43977355957031,1851.9599609375
2014-04-09,16.54765510559082,58.54035186767578,1872.1800537109375
2014-04-10,16.334226608276367,58.25299835205078,1833.0799560546875
2014-04-11,16.213470458984375,58.01594543457031,1815.68994140625
2014-04-14,16.278064727783203,58.05187225341797,1830.6099853515625
2014-04-15,16.161977767944336,58.07341384887695,1842.97998046875
2014-04-16,16.194747924804688,58.65530014038086,1862.31005859375
2014-04-17,16.379777908325195,58.73432159423828,1864.8499755859375
2014-04-21,16.574180603027344,58.59062194824219,1871.8900146484375
2014-04-22,16.590715408325195,58.36796188354492,1879.550048828125
2014-04-23,16.373855590820312,58.18979263305664,1875.3900146484375
2014-04-24,17.716215133666992,58.76184844970703,1878.6099853515625
2014-04-25,17.846328735351562,58.950130462646484,1863.4000244140625
2014-04-28,18.537485122680664,60.05803298950195,1869.4300537109375
2014-04-29,18.482555389404297,59.69597244262695,1878.3299560546875
2014-04-30,18.41266632080078,59.77561569213867,1883.949951171875
2014-05-01,18.45604133605957,59.62355041503906,1883.6800537109375
2014-05-02,18.490360260009766,59.31942367553711,1881.1400146484375
2014-05-05,18.751840591430664,59.16012191772461,1884.6600341796875
2014-05-06,18.547460556030273,58.747379302978516,1867.719970703125
2014-05-07,18.482555389404297,59.44253921508789,1878.2099609375
2014-05-08,18.449615478515625,59.49323654174805,1875.6300048828125
